cluster,Avg_sent_post,Avg_sent_comment,Avg_hard_norm,Avg_soft_norm,Avg_sent_post_minus_overall,Avg_sent_comment_minus_overall,Avg_hard_norm_minus_overall,Avg_soft_norm_minus_overall
0,0.6332093023255815,0.5723657894736842,0.005101894279715919,0.013061772484529992,0.0959629215160398,-0.13886084791551945,-0.0011059731414278977,-0.011329343075772248
1,0.5362652173913043,0.8051586206896552,0.0014067586966552768,0.07106905571950983,-0.0009811634182373963,0.0939319833004515,-0.00480110872448854,0.04667794015920759
2,0.5210787234042553,0.6042255813953489,0.012661665728885453,0.008665411401058105,-0.016167657405286362,-0.10700105599385479,0.006453798307741636,-0.015725704159244135
3,0.583894495412844,0.7254844444444444,0.024247900287336935,0.0058151971673016155,0.046648114603302315,0.014257807055240712,0.018040032866193118,-0.018575918393000625
4,0.36483333333333334,0.640085294117647,0.002523326751414437,0.02243524626750238,-0.17241304747620834,-0.07114134327155663,-0.0036845406697293796,-0.0019558692927998597
5,0.4604142857142857,0.5416592592592593,4.088413561850479e-05,0.02391198516164586,-0.07683209509525596,-0.16956737812994438,-0.006166983285525312,-0.00047913039865637996
6,0.5417073684210527,0.7167818681318681,0.007165690964220874,0.01123162732378596,0.004460987611511036,0.0055552307426643965,0.0009578235430770573,-0.01315948823651628
7,0.5093,0.990575,0.0,0.07095168716051695,-0.027946380809541704,0.2793483626107963,-0.006207867421143817,0.046560571600214706
8,0.6625569230769232,0.7867859375,0.013028289077116697,0.013693352753588309,0.12531054226738148,0.07555930011079637,0.00682042165597288,-0.010697762806713931
9,0.7305571428571428,0.7687658536585366,0.0007527071526187348,0.013130263338756585,0.19331076204760111,0.05753921626933289,-0.005455160268525082,-0.011260852221545655
10,0.51287,0.75889,0.005685772604146882,0.03542374128256864,-0.02437638080954163,0.04766336261079629,-0.0005220948169969344,0.011032625722266397
11,0.39026977777777777,0.623942,0.001879519375996094,0.003304046662862607,-0.1469766030317639,-0.08728463738920367,-0.0043283480451477225,-0.021087068897439634
