cluster,cluster_label,avg_post_sentiment,avg_comment_sentiment,avg_engagement,avg_hard_norm,avg_soft_norm,avg_desirability_index,avg_post_sentiment_diff_from_mean,avg_comment_sentiment_diff_from_mean,avg_engagement_diff_from_mean,avg_hard_norm_diff_from_mean,avg_soft_norm_diff_from_mean,avg_desirability_index_diff_from_mean
9,tool / company,0.41249891500904157,0.6336350409836066,3.766726943942134,0.006077442262463994,0.004864910813354635,0.0012125314491093588,-0.12803361216062126,-0.06344041632027875,-0.6211219670234844,-0.014163991114845158,-0.018397584569522583,0.004233593454677419
6,course / interview,0.697900625,0.7728477124183006,5.0,0.005668750639697349,0.031356193808295976,-0.025687443168598622,0.15736809783033723,0.07577225511441532,0.6121510890343815,-0.014572682737611803,0.008093698425418759,-0.02266638116303056
0,sql / python,0.65291,0.7662136363636364,5.114285714285714,0.02736914120451592,0.005197916612895352,0.02217122459162057,0.11237747283033717,0.06913817905975106,0.7264368033200954,0.007127707827206769,-0.018064578769981864,0.02519228659718863
7,engineer / tool,0.4742306451612903,0.6707982142857143,4.145161290322581,0.09399945810324298,0.004200214954458722,0.08979924314878426,-0.0663018820083725,-0.026277243018171026,-0.2426876206430375,0.07375802472593382,-0.019062280428418496,0.09282030515435233
5,dbt / model,0.5200333333333333,0.7402232142857142,3.85,0.011779416159944574,0.005334125499498881,0.006445290660445693,-0.020499193836329477,0.04314775698182893,-0.5378489109656184,-0.008462017217364578,-0.017928369883378335,0.009466352666013754
3,table / schema,0.6416526315789474,0.6975979591836734,3.6140350877192984,0.011141200580343914,0.006148900737536395,0.004992299842807519,0.10112010440928454,0.0005225018797880843,-0.7738138232463201,-0.009100232796965238,-0.017113594645340822,0.008013361848375578
4,business / advice,0.4129481481481481,0.6847666666666666,3.6666666666666665,0.005529155508834889,0.11826929756070619,-0.11274014205187129,-0.1275843790215147,-0.01230879063721868,-0.721182244298952,-0.014712277868474264,0.09500680217782898,-0.10971908004630322
8,file / csv,0.5485042553191489,0.5410809523809524,3.595744680851064,0.018414491805128733,0.005459223319756084,0.012955268485372649,0.007971728149486101,-0.15599450492293288,-0.7921042301145547,-0.0018269415721804197,-0.017803272063121135,0.01597633049094071
2,entry / entry level,0.6180324324324324,0.8159,6.297297297297297,0.016576434077334345,0.030431356595779842,-0.013854922518445495,0.07749990526276962,0.11882454269611464,1.909448386331679,-0.0036649992999748075,0.007168861212902625,-0.010833860512877436
1,dashboard / power,0.4266142857142857,0.6476911764705883,4.828571428571428,0.0058588434315848675,0.021362813926490126,-0.015503970494905258,-0.1139182414553771,-0.049384280833297045,0.4407225176058098,-0.014382589945724285,-0.0018996814563870916,-0.012482908489337198
