variant,k,silhouette,max_cluster_pct,coherence_proxy,inertia
A_tfidf_plus_lex,4,0.00759242262989144,0.5215859030837005,-1.5307046218543006,1105.5368064477534
A_tfidf_plus_lex,5,0.00735133751634865,0.3991189427312775,-1.4910336555204597,1099.1884240401666
A_tfidf_plus_lex,6,0.007210877796437835,0.34185022026431716,-1.4792217271426082,1094.7129152910986
A_tfidf_plus_lex,7,0.007968375742635724,0.27224669603524226,-1.4280950808672632,1091.1012930607444
A_tfidf_plus_lex,8,0.007609797393274511,0.3118942731277533,-1.4121352410507222,1087.3403734665224
A_tfidf_plus_lex,9,0.0075698094602785985,0.3436123348017621,-1.3186465528524955,1083.5436628621574
A_tfidf_plus_lex,10,0.009750728076000676,0.27312775330396477,-1.345486526062246,1078.9377003809996
A_tfidf_plus_lex,11,0.009953223713856882,0.4484581497797357,-1.2682125549594436,1076.5726751118298
A_tfidf_plus_lex,12,0.009213287170344756,0.3594713656387665,-1.313634527347799,1074.8385254425434
B_lsa_plus_lex,4,0.04348176972430783,0.7400881057268722,-1.3993655100024667,503.50822499216633
B_lsa_plus_lex,5,0.019923235693123743,0.5594713656387665,-1.3463051975936846,498.0739700463412
B_lsa_plus_lex,6,0.01967900057465371,0.46343612334801765,-1.4267555353284112,493.8406523314124
B_lsa_plus_lex,7,0.020352591555559674,0.4775330396475771,-1.3191492283024682,489.24339758442227
B_lsa_plus_lex,8,0.018348342548493834,0.4193832599118943,-1.4800969092911005,486.10219574841165
B_lsa_plus_lex,9,0.031236837113529706,0.5788546255506608,-1.079679811035926,480.95630043466775
B_lsa_plus_lex,10,0.026639496531893538,0.48722466960352423,-1.2497978575340143,478.56785074990324
B_lsa_plus_lex,11,0.025319157634084863,0.38502202643171807,-1.2475251674227994,475.06827837836
B_lsa_plus_lex,12,0.015878848776090405,0.25198237885462554,-1.280486253224643,471.90539840055374
