term,avg_tfidf
data,0.06786889464215869
analytics,0.025381507740799867
project,0.023505048769882155
job,0.023269281590461613
like,0.02242882447922624
work,0.02081621281835315
would,0.020356145487119396
engineering,0.01915969384635943
tool,0.018635755062248894
analyst,0.01853828486984339
sql,0.01801576153695875
role,0.017503797192273216
time,0.01740601530015041
experience,0.01712374317560593
year,0.016894434694347385
get,0.016788379010865183
want,0.016776729176197065
need,0.016568651759163982
company,0.01623726657742736
engineer,0.015887486085996248
